Core ID,Site ,Subsite,Plot,W/C,Soil core weight (g) ,Lat (N),Long (W),Elevation (m),Core code,Date of installment,Depth of core (cm) ,Diameter of core (cm),Diameter of auger (cm),Date of removal ,Soil sample retained?,Soil type ,Date of abiotic measurements,Core soil source ,Soil moisture %,moist category (within site),active layer thickness (cm),distance to nearest logger (cm) ,Nearest logger ID,Notes,,,,,,,,,,,,,,,,,,
SEN_SAL_1C_P1,Sphinx Bay,Salix,1,C,354.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEN_SAL_1C_P2,Sphinx Bay,Salix,1,C,349.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEN_SAL_1C_P3,Sphinx Bay,Salix,1,C,350.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEN_SAL_1C_T1,Sphinx Bay,Salix,1,C,325.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEN_SAL_1C_T2,Sphinx Bay,Salix,1,C,317.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEN_SAL_2W_P1,Sphinx Bay,Salix,2,W,309.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEN_SAL_2W_P2,Sphinx Bay,Salix,2,W,338.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEN_SAL_2W_P3,Sphinx Bay,Salix,2,W,365.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEN_SAL_2W_T1,Sphinx Bay,Salix,2,W,338.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEN_SAL_2W_T2,Sphinx Bay,Salix,2,W,336.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEN_CASS_15C_P1,Sphinx Bay,Cassiope,15,C,329.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEN_CASS_15C_P2,Sphinx Bay,Cassiope,15,C,355.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEN_CASS_15C_P3,Sphinx Bay,Cassiope,15,C,340.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEN_CASS_15C_T1,Sphinx Bay,Cassiope,15,C,335.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
