Site,PlotTrmt,,Filename,Date,Quad1,Quad2,Quad3,Quad4,Avg,SD,Moving_Avg_5
CASS,10,W,./greeness-data/CASS_10W\CASS_10W_day1.jpg,2022-07-22,3.68368836291913,2.87901380670611,2.3246942800789,1.6381459566075,2.63138560157791,0.865880166559851,NA
CASS,10,W,./greeness-data/CASS_10W\CASS_10W_day10.jpg,2022-07-30,4.53037475345168,4.05493096646943,2.76406311637081,2.43802761341223,3.44684911242604,1.00460753352714,NA
CASS,10,W,./greeness-data/CASS_10W\CASS_10W_day11.jpg,2022-07-31,4.43236686390533,3.78696252465483,2.71846153846154,2.19587771203156,3.28341715976331,1.01251506352003,2.74991617357002
CASS,10,W,./greeness-data/CASS_10W\CASS_10W_day12.jpg,2022-08-01,3.63485207100592,2.43264299802761,1.87646942800789,1.64120315581854,2.39629191321499,0.889892711418543,3.13726923076923
CASS,10,W,./greeness-data/CASS_10W\CASS_10W_day13.jpg,2022-08-02,3.2010650887574,1.81021696252465,1.48495069033531,1.47031558185404,1.99163708086785,0.821408661851139,3.15392800788955
CASS,10,W,./greeness-data/CASS_10W\CASS_10W_day14.jpg,2022-08-03,5.88597633136095,4.91084812623274,4.05925049309665,3.41652859960552,4.56815088757397,1.07071919806604,3.14078500986193
CASS,10,W,./greeness-data/CASS_10W\CASS_10W_day15.jpg,2022-08-04,4.95812623274162,3.27978303747535,3.15420118343195,2.72846153846154,3.53014299802761,0.980789076720962,3.26658382642998
CASS,10,W,./greeness-data/CASS_10W\CASS_10W_day16.jpg,2022-08-05,4.29491124260355,3.29830374753452,3.0379684418146,2.23962524654832,3.21770216962525,0.847705664649505,3.37573767258383
CASS,10,W,./greeness-data/CASS_10W\CASS_10W_day17.jpg,2022-08-06,4.02171597633136,3.04694280078895,2.78522682445759,2.247258382643,3.02528599605523,0.743033668121089,2.97272386587771
CASS,10,W,./greeness-data/CASS_10W\CASS_10W_day18.jpg,2022-08-07,3.44822485207101,2.66447731755424,2.2946942800789,1.74222879684418,2.53740631163708,0.715763895996973,2.76295463510848
CASS,10,W,./greeness-data/CASS_10W\CASS_10W_day19.jpg,2022-08-08,3.69976331360947,2.64593688362919,2.12343195266272,1.74319526627219,2.55308185404339,0.84931653876123,2.74618639053254
CASS,10,W,./greeness-data/CASS_10W\CASS_10W_day20.jpg,2022-08-09,3.745483234714,2.42209072978304,2.30305719921105,1.45455621301775,2.48129684418146,0.94650907527107,2.66022781065089
CASS,10,W,./greeness-data/CASS_10W\CASS_10W_day22.jpg,2022-08-10,4.49037475345168,3.08932938856016,2.83842209072978,2.11731755424063,3.13386094674556,0.993773507721633,2.91972682445759
CASS,10,W,./greeness-data/CASS_10W\CASS_10W_day23.jpg,2022-08-11,4.05688362919132,2.43897435897436,2.26181459566075,1.62429980276134,2.59549309664694,1.03516796704073,2.92035601577909
CASS,10,W,./greeness-data/CASS_10W\CASS_10W_day24.jpg,2022-08-12,5.36577909270217,3.79161735700197,3.66826429980276,2.51394477317554,3.83490138067061,1.1716305378268,2.84405621301775
CASS,10,W,./greeness-data/CASS_10W\CASS_10W_day25.jpg,2022-08-13,3.7330966469428,2.43504930966469,2.34771203155819,1.70905325443787,2.55622781065089,0.848702548160368,2.88013214990138
CASS,10,W,./greeness-data/CASS_10W\CASS_10W_day26.jpg,2022-08-14,3.50719921104537,2.02571992110454,1.72098619329389,1.14528599605523,2.09979783037475,1.00678651845021,3.01564694280079
CASS,10,W,./greeness-data/CASS_10W\CASS_10W_day27.jpg,2022-08-15,4.61335305719921,3.5098224852071,3.05623274161736,2.07755424063116,3.31424063116371,1.05228428616154,3.06098224852071
CASS,10,W,./greeness-data/CASS_10W\CASS_10W_day28.jpg,2022-08-16,4.8953057199211,3.25887573964497,3.02420118343195,1.91388560157791,3.27306706114398,1.23033438879496,3.15141420118343
