Site,Spp,Elongation S,Elongation E,M.Flower,Seed,Senescence
SAL_1C,triglu,27-07,01-08,31-07,19-08,14-08
SAL_2W,triglu,25-07,28-07,29-07,17-08,13-09
SAL_3C,triglu,24-07,29-07,27-07,16-08,11-09
SAL_4W,triglu,23-07,31-07,29-07,18-08,09-09
SAL_5C,triglu,24-07,30-07,28-07,19-08,08-09
SAL_6W,triglu,NA,NA,NA,NA,NA
SAL_7C,triglu,25-07,30-07,29-07,17-08,11-09
SAL_8W,triglu,NA,NA,NA,NA,NA
CASS_9C,triglu,22-07,31-07,30-07,17-08,14-09
CASS_10W,triglu,26-07,01-08,31-07,21-08,15-09
CASS_11C,triglu,24-07,31-07,31-07,17-08,14-09
CASS_12W,triglu,24-07,02-08,31-07,23-08,08-09
CASS_13C,triglu,23-07,01-08,02-08,18-08,13-09
CASS_14W,triglu,27-07,01-08,04-08,26-08,14-09
CASS_15C,triglu,NA,NA,NA,NA,NA
CASS_16W,triglu,25-07,30-07,30-07,20-08,08-09
