"","filename","X","Y","HitOrder","SPP","STATUS","TISSUE","CanopyHeight.mm.","Extra.sp","SITE","PLOT","TRTMT","Observer","DATE","TOMST","Flag","Flag.1","SPP_sub"
"1","SAL_1C.csv",0,0,"Top","x","","","","","Salix","1","control","joanna","sept 25 2022","","","","x"
"2","SAL_1C.csv",0,0,"Bottom","x","","","","","Salix","1","control","joanna","sept 25 2022","","","","x"
"3","SAL_1C.csv",10,0,"Top","x","","","","","Salix","1","control","joanna","sept 25 2022","","","","x"
"4","SAL_1C.csv",10,0,"Bottom","x","","","","","Salix","1","control","joanna","sept 25 2022","","","","x"
"5","SAL_1C.csv",20,0,"Top","x","","","","","Salix","1","control","joanna","sept 25 2022","","","","x"
"6","SAL_1C.csv",20,0,"Bottom","x","","","","","Salix","1","control","joanna","sept 25 2022","","","","x"
"7","SAL_1C.csv",30,0,"Top","x","","","","","Salix","1","control","joanna","sept 25 2022","","","","x"
"8","SAL_1C.csv",30,0,"Bottom","x","","","","","Salix","1","control","joanna","sept 25 2022","","","","x"
"9","SAL_1C.csv",40,0,"Top","x","","","","","Salix","1","control","joanna","sept 25 2022","","","","x"
"10","SAL_1C.csv",40,0,"Bottom","x","","","","","Salix","1","control","joanna","sept 25 2022","","","","x"
"11","SAL_1C.csv",50,0,"Top","x","","","","","Salix","1","control","joanna","sept 25 2022","","","","x"
"12","SAL_1C.csv",50,0,"Bottom","x","","","","","Salix","1","control","joanna","sept 25 2022","","","","x"
"13","SAL_1C.csv",60,0,"Top","x","","","","","Salix","1","control","joanna","sept 25 2022","","","","x"
"14","SAL_1C.csv",60,0,"Bottom","x","","","","","Salix","1","control","joanna","sept 25 2022","","","","x"
"15","SAL_1C.csv",70,0,"Top","x","","","","","Salix","1","control","joanna","sept 25 2022","","","","x"
"16","SAL_1C.csv",70,0,"Bottom","x","","","","","Salix","1","control","joanna","sept 25 2022","","","","x"
"17","SAL_1C.csv",80,0,"Top","x","","","","","Salix","1","control","joanna","sept 25 2022","","","","x"
"18","SAL_1C.csv",80,0,"Bottom","x","","","","","Salix","1","control","joanna","sept 25 2022","","","","x"
"19","SAL_1C.csv",90,0,"Top","x","","","","","Salix","1","control","joanna","sept 25 2022","","","","x"
"20","SAL_1C.csv",90,0,"Bottom","x","","","","","Salix","1","control","joanna","sept 25 2022","","","","x"
"21","SAL_1C.csv",0,10,"Top","caraur","standing_dead","leaf","5","","Salix","1","control","joanna","sept 25 2022","","","","caraur"
"22","SAL_1C.csv",0,10,"Bottom","litter","","","","","Salix","1","control","joanna","sept 25 2022","","","","litter"
"23","SAL_1C.csv",10,10,"Top","litter","","","1","","Salix","1","control","joanna","sept 25 2022","","","","litter"
"24","SAL_1C.csv",10,10,"Bottom","soil","","","","","Salix","1","control","joanna","sept 25 2022","","","","soil"
"25","SAL_1C.csv",20,10,"Top","caraur","live","leaf","8","","Salix","1","control","joanna","sept 25 2022","","","","caraur"
"26","SAL_1C.csv",20,10,"Bottom","soil","","","","","Salix","1","control","joanna","sept 25 2022","","","","soil"
"27","SAL_1C.csv",30,10,"Top","triglu","live","leaf","4","","Salix","1","control","joanna","sept 25 2022","","","","triglu"
"28","SAL_1C.csv",30,10,"Bottom","soil","","","","","Salix","1","control","joanna","sept 25 2022","","","","soil"
"29","SAL_1C.csv",40,10,"Top","salbar","live","leaf","27","","Salix","1","control","joanna","sept 25 2022","","","","salbar"
"30","SAL_1C.csv",40,10,"Bottom","soil","","","","","Salix","1","control","joanna","sept 25 2022","","","","soil"
"31","SAL_1C.csv",50,10,"Top","other","","","0","","Salix","1","control","joanna","sept 25 2022","","","","other"
"32","SAL_1C.csv",50,10,"Bottom","other","","","","","Salix","1","control","joanna","sept 25 2022","","","","other"
"33","SAL_1C.csv",60,10,"Top","carspp","live","leaf","5.5","","Salix","1","control","joanna","sept 25 2022","","","","carspp"
"34","SAL_1C.csv",60,10,"Bottom","soil","","","","","Salix","1","control","joanna","sept 25 2022","","","","soil"
"35","SAL_1C.csv",70,10,"Top","salbar","live","leaf","5","","Salix","1","control","joanna","sept 25 2022","","","","salbar"
"36","SAL_1C.csv",70,10,"Bottom","soil","","","","","Salix","1","control","joanna","sept 25 2022","","","","soil"
"37","SAL_1C.csv",80,10,"Top","x","","","","","Salix","1","control","joanna","sept 25 2022","","","","x"
"38","SAL_1C.csv",80,10,"Bottom","x","","","","","Salix","1","control","joanna","sept 25 2022","","","","x"
"39","SAL_1C.csv",90,10,"Top","x","","","","","Salix","1","control","joanna","sept 25 2022","","","","x"
"40","SAL_1C.csv",90,10,"Bottom","x","","","","","Salix","1","control","joanna","sept 25 2022","","","","x"
"41","SAL_1C.csv",0,20,"Top","salbar","live","leaf","26","","Salix","1","control","joanna","sept 25 2022","","","","salbar"
"42","SAL_1C.csv",0,20,"Bottom","carspp","standing_dead","leaf","","","Salix","1","control","joanna","sept 25 2022","","","","carspp"
"43","SAL_1C.csv",10,20,"Top","caraur","live","leaf","7","","Salix","1","control","joanna","sept 25 2022","","","","caraur"
"44","SAL_1C.csv",10,20,"Bottom","soil","","","","","Salix","1","control","joanna","sept 25 2022","","","","soil"
"45","SAL_1C.csv",20,20,"Top","triglu","standing_dead","flower","19","","Salix","1","control","joanna","sept 25 2022","","","","triglu"
"46","SAL_1C.csv",20,20,"Bottom","soil","","","","","Salix","1","control","joanna","sept 25 2022","","","","soil"
"47","SAL_1C.csv",30,20,"Top","caraur","standing_dead","leaf","4","","Salix","1","control","joanna","sept 25 2022","","","","caraur"
"48","SAL_1C.csv",30,20,"Bottom","litter","","","","","Salix","1","control","joanna","sept 25 2022","","","","litter"
"49","SAL_1C.csv",40,20,"Top","salbar","live","stem","19","","Salix","1","control","joanna","sept 25 2022","","","","salbar"
"50","SAL_1C.csv",40,20,"Bottom","carspp","standing_dead","leaf","","","Salix","1","control","joanna","sept 25 2022","","","","carspp"
"51","SAL_1C.csv",50,20,"Top","equvar","live","stem","5","","Salix","1","control","joanna","sept 25 2022","","","","equvar"
"52","SAL_1C.csv",50,20,"Bottom","litter","","","","","Salix","1","control","joanna","sept 25 2022","","","","litter"
"53","SAL_1C.csv",60,20,"Top","salbar","live","stem","23","","Salix","1","control","joanna","sept 25 2022","","","","salbar"
"54","SAL_1C.csv",60,20,"Bottom","litter","","","","","Salix","1","control","joanna","sept 25 2022","","","","litter"
"55","SAL_1C.csv",70,20,"Top","other","","","0","","Salix","1","control","joanna","sept 25 2022","","","","other"
"56","SAL_1C.csv",70,20,"Bottom","rock","","","","","Salix","1","control","joanna","sept 25 2022","","","","rock"
"57","SAL_1C.csv",80,20,"Top","x","","","","","Salix","1","control","joanna","sept 25 2022","","","","x"
"58","SAL_1C.csv",80,20,"Bottom","x","","","","","Salix","1","control","joanna","sept 25 2022","","","","x"
"59","SAL_1C.csv",90,20,"Top","x","","","","","Salix","1","control","joanna","sept 25 2022","","","","x"
"60","SAL_1C.csv",90,20,"Bottom","x","","","","","Salix","1","control","joanna","sept 25 2022","","","","x"
"61","SAL_1C.csv",0,30,"Top","salbar","attached_dead","stem","5","","Salix","1","control","joanna","sept 25 2022","","","","salbar"
"62","SAL_1C.csv",0,30,"Bottom","rock","","","","","Salix","1","control","joanna","sept 25 2022","","","","rock"
"63","SAL_1C.csv",10,30,"Top","salbar","attached_dead","stem","9","","Salix","1","control","joanna","sept 25 2022","","","","salbar"
"64","SAL_1C.csv",10,30,"Bottom","soil","","","","","Salix","1","control","joanna","sept 25 2022","","","","soil"
"65","SAL_1C.csv",20,30,"Top","triglu","live","leaf","1","","Salix","1","control","joanna","sept 25 2022","","","","triglu"
"66","SAL_1C.csv",20,30,"Bottom","soil","","","","","Salix","1","control","joanna","sept 25 2022","","","","soil"
"67","SAL_1C.csv",30,30,"Top","caraur","standing_dead","leaf","2","","Salix","1","control","joanna","sept 25 2022","","","","caraur"
"68","SAL_1C.csv",30,30,"Bottom","soil","","","","","Salix","1","control","joanna","sept 25 2022","","","","soil"
"69","SAL_1C.csv",40,30,"Top","salbar","live","leaf","41","","Salix","1","control","joanna","sept 25 2022","","","","salbar"
"70","SAL_1C.csv",40,30,"Bottom","soil","","","","","Salix","1","control","joanna","sept 25 2022","","","","soil"
"71","SAL_1C.csv",50,30,"Top","salbar","live","leaf","28","","Salix","1","control","joanna","sept 25 2022","","","","salbar"
"72","SAL_1C.csv",50,30,"Bottom","litter","","","","","Salix","1","control","joanna","sept 25 2022","","","","litter"
"73","SAL_1C.csv",60,30,"Top","carspp","standing_dead","leaf","7","","Salix","1","control","joanna","sept 25 2022","","","","carspp"
"74","SAL_1C.csv",60,30,"Bottom","litter","","","","","Salix","1","control","joanna","sept 25 2022","","","","litter"
"75","SAL_1C.csv",70,30,"Top","salbar","live","leaf","22","","Salix","1","control","joanna","sept 25 2022","","","","salbar"
"76","SAL_1C.csv",70,30,"Bottom","soil","","","","","Salix","1","control","joanna","sept 25 2022","","","","soil"
"77","SAL_1C.csv",80,30,"Top","x","","","","","Salix","1","control","joanna","sept 25 2022","","","","x"
"78","SAL_1C.csv",80,30,"Bottom","x","","","","","Salix","1","control","joanna","sept 25 2022","","","","x"
"79","SAL_1C.csv",90,30,"Top","x","","","","","Salix","1","control","joanna","sept 25 2022","","","","x"
"80","SAL_1C.csv",90,30,"Bottom","x","","","","","Salix","1","control","joanna","sept 25 2022","","","","x"
"81","SAL_1C.csv",0,40,"Top","other","","","0","","Salix","1","control","joanna","sept 25 2022","","","","other"
"82","SAL_1C.csv",0,40,"Bottom","soil","","","","","Salix","1","control","joanna","sept 25 2022","","","","soil"
"83","SAL_1C.csv",10,40,"Top","caraur","standing_dead","leaf","9","","Salix","1","control","joanna","sept 25 2022","","","","caraur"
"84","SAL_1C.csv",10,40,"Bottom","rock","","","","","Salix","1","control","joanna","sept 25 2022","","","","rock"
"85","SAL_1C.csv",20,40,"Top","salbar","live","stem","6","","Salix","1","control","joanna","sept 25 2022","","","","salbar"
"86","SAL_1C.csv",20,40,"Bottom","litter","","","","","Salix","1","control","joanna","sept 25 2022","","","","litter"
"87","SAL_1C.csv",30,40,"Top","triglu","standing_dead","leaf","4","","Salix","1","control","joanna","sept 25 2022","","","","triglu"
"88","SAL_1C.csv",30,40,"Bottom","carspp","live","leaf","","","Salix","1","control","joanna","sept 25 2022","","","","carspp"
"89","SAL_1C.csv",40,40,"Top","salbar","live","stem","14.5","","Salix","1","control","joanna","sept 25 2022","","","","salbar"
"90","SAL_1C.csv",40,40,"Bottom","soil","","","","","Salix","1","control","joanna","sept 25 2022","","","","soil"
"91","SAL_1C.csv",50,40,"Top","triglu","standing_dead","flower_stem","9","","Salix","1","control","joanna","sept 25 2022","","","","triglu"
"92","SAL_1C.csv",50,40,"Bottom","soil","","","","","Salix","1","control","joanna","sept 25 2022","","","","soil"
"93","SAL_1C.csv",60,40,"Top","salbar","live","stem","11","","Salix","1","control","joanna","sept 25 2022","","","","salbar"
"94","SAL_1C.csv",60,40,"Bottom","soil","","","","","Salix","1","control","joanna","sept 25 2022","","","","soil"
"95","SAL_1C.csv",70,40,"Top","salbar","live","stem","17","","Salix","1","control","joanna","sept 25 2022","","","","salbar"
"96","SAL_1C.csv",70,40,"Bottom","litter","","","","","Salix","1","control","joanna","sept 25 2022","","","","litter"
"97","SAL_1C.csv",80,40,"Top","x","","","","","Salix","1","control","joanna","sept 25 2022","","","","x"
"98","SAL_1C.csv",80,40,"Bottom","x","","","","","Salix","1","control","joanna","sept 25 2022","","","","x"
"99","SAL_1C.csv",90,40,"Top","x","","","","","Salix","1","control","joanna","sept 25 2022","","","","x"
"100","SAL_1C.csv",90,40,"Bottom","x","","","","","Salix","1","control","joanna","sept 25 2022","","","","x"
"101","SAL_1C.csv",0,50,"Top","carspp","standing_dead","leaf","5","","Salix","1","control","joanna","sept 25 2022","","","","carspp"
"102","SAL_1C.csv",0,50,"Bottom","carspp","standing_dead","leaf","","","Salix","1","control","joanna","sept 25 2022","","","","carspp"
"103","SAL_1C.csv",10,50,"Top","caraur","standing_dead","leaf","8.5","","Salix","1","control","joanna","sept 25 2022","","","","caraur"
"104","SAL_1C.csv",10,50,"Bottom","soil","","","","","Salix","1","control","joanna","sept 25 2022","","","","soil"
"105","SAL_1C.csv",20,50,"Top","salbar","live","stem","12","","Salix","1","control","joanna","sept 25 2022","","","","salbar"
"106","SAL_1C.csv",20,50,"Bottom","soil","","","","","Salix","1","control","joanna","sept 25 2022","","","","soil"
