"","filename","PLOT","TRTMT","SITE","Observer","DATE","SITE.Warm","SITE.TRTMT"
"1","Mead_19C.csv",19,"control","Meadow","cc","06-08-2022","Meadow.","Meadow.control"
"2","Mead_17C.csv",17,"control","Meadow","vh","06-08-2022","Meadow.","Meadow.control"
"3","Mead_18W.csv",18,"warming","Meadow","vh","06-08-2022","Meadow.","Meadow.warming"
"4","Mead_21C.csv",21,"control","Meadow","cassandra/anya","07-08-2022","Meadow.","Meadow.control"
"5","CASS_11C.csv",11,"control","Cassiope","anya","08-08-2019","Cassiope.","Cassiope.control"
"6","CASS_12W.csv",12,"warming","Cassiope","spencercourtney","08-08-2019","Cassiope.","Cassiope.warming"
"7","SAL_5C.csv",5,"control","Salix","joanna","9/26/22","Salix.","Salix.control"
"8","SAL_7C.csv",7,"control","Salix","joanna","9/26/22","Salix.","Salix.control"
"9","SAL_8W.csv",8,"warming","Salix","joanna","9/26/22","Salix.","Salix.warming"
"10","Mead_23C.csv",23,"control","Meadow","anya","aug 7 2022","Meadow.","Meadow.control"
"11","Mead_20W.csv",20,"warming","Meadow","cassandra","aug 7 2022","Meadow.","Meadow.warming"
"12","Mead_24W.csv",24,"warming","Meadow","cassandra","aug 7 2022","Meadow.","Meadow.warming"
"13","Mead_22W.csv",22,"warming","Meadow","spencer / cassandra","Aug 7 2022","Meadow.","Meadow.warming"
"14","CASS_14W.csv",14,"warming","Cassiope","courtney","aug 8 2022","Cassiope.","Cassiope.warming"
"15","CASS_10W.csv",10,"warming","Cassiope","Cassandra","Aug 8 2022","Cassiope.","Cassiope.warming"
"16","CASS_9C.csv",9,"control","Cassiope","Joanna","Aug 8 2022","Cassiope.","Cassiope.control"
"17","CASS_15C.csv",15,"control","Cassiope","courtney","aug 9 2022","Cassiope.","Cassiope.control"
"18","CASS_13C.csv",13,"control","Cassiope","courtney","aug8 2022","Cassiope.","Cassiope.control"
"19","CASS_16W.csv",16,"warming","Cassiope","courtney","aug9 2022","Cassiope.","Cassiope.warming"
"20","SAL_4W.csv",4,"warming","Salix","courtney","sept 25 2022","Salix.","Salix.warming"
"21","SAL_3C.csv",3,"control","Salix","Courtney","sept 25 2022","Salix.","Salix.control"
"22","SAL_1C.csv",1,"control","Salix","joanna","sept 25 2022","Salix.","Salix.control"
"23","SAL_2W.csv",2,"warming","Salix","joanna","sept 25 2022","Salix.","Salix.warming"
"24","SAL_6W.csv",6,"warming","Salix","joanna","sept 26 2022","Salix.","Salix.warming"
