"","x","caraur","litter","soil","triglu","salbar","other","NA","carspp","equvar","rock","moss","kalmic","carapp","lichen","caraqu","equarv","junmer","junarc","casmer","phygla","pinvul","jundru","galhul","lupspp","antalp","salgla","carnig","galhum","?","carmer"
"1",0,0,2,4,0,4,0,0,0,5,0,68,0,0,0,48,22,4,1,0,0,0,0,0,0,0,0,0,0,0,0
"2",0,0,15,15,0,0,0,0,0,0,0,35,0,0,0,60,5,5,4,0,0,0,0,0,0,0,0,0,0,1,0
"3",0,0,16,12,0,2,2,0,0,2,1,47,0,0,0,43,13,8,12,0,0,0,0,0,0,0,0,0,0,0,1
"4",0,0,7,13,0,3,3,0,0,1,0,79,0,0,0,41,14,6,7,0,0,0,0,0,0,0,0,0,0,0,0
"5",16,1,29,16,6,1,0,0,3,22,4,26,22,0,0,0,0,0,0,5,1,2,0,0,0,0,0,0,0,0,0
"6",28,0,43,2,5,1,0,0,0,17,2,22,27,0,0,0,0,0,0,2,4,0,0,0,0,0,1,0,0,0,0
"7",28,22,29,30,1,34,1,0,8,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",28,6,19,35,2,31,1,0,16,0,1,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",28,5,15,30,0,24,1,0,7,6,3,17,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",18,0,4,52,0,2,2,0,0,2,0,8,0,0,0,26,11,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"11",0,0,13,16,0,4,1,0,0,8,0,72,0,0,0,55,4,11,2,0,0,0,0,0,0,0,0,0,0,0,0
"12",37,0,9,42,0,0,1,0,0,0,0,16,0,0,0,49,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13",37,0,7,16,0,0,0,0,0,0,0,40,0,0,0,28,7,4,1,0,0,0,0,0,0,0,0,0,0,0,0
"14",23,0,45,4,13,2,1,0,7,0,1,6,21,0,0,0,0,0,0,14,9,5,0,0,2,0,2,0,0,0,0
"15",27,0,23,0,22,0,0,0,2,4,2,38,8,0,0,0,0,0,0,7,8,3,1,2,1,1,0,0,0,0,0
"16",37,1,45,1,19,3,0,0,3,7,2,15,7,0,0,0,0,0,0,5,11,0,0,0,0,0,0,0,0,0,0
"17",20,0,51,3,7,1,2,0,0,24,6,10,9,0,0,0,0,0,0,1,20,1,0,0,0,0,0,0,0,0,0
"18",20,2,38,14,15,4,0,0,5,2,2,10,18,0,0,0,0,0,0,11,3,3,6,1,0,0,0,1,0,0,0
"19",21,0,45,1,7,1,2,0,1,25,2,20,14,0,0,0,0,0,0,1,10,1,0,0,0,0,3,0,5,0,0
"20",28,40,36,25,1,21,1,0,1,1,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21",28,22,37,26,6,23,0,0,13,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22",28,15,29,36,9,22,4,0,11,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23",28,14,18,46,10,16,2,0,10,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24",28,11,28,33,7,29,0,0,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
