"## Date taken (teagan's phone didn't have timestamps so i inferred them, may be inaccurate)",Location,Transect,Quadrat,Photographer,Percent Cover
2022:08:06 10:01:17,BT,10,1,NC,0.366226926
2022:08:06 12:01:10,BT,10,10,NC,0.14019468
2022:08:06 10:02:11,BT,10,2,NC,0.4179322
2022:08:06 10:19:37,BT,10,3,NC,0.291157356
2022:08:06 10:30:19,BT,10,4,NC,0.376530188
2022:08:06 10:41:26,BT,10,5,NC,0.400065494
2022:08:06 10:55:06,BT,10,6,NC,0.546300828
2022:08:06 11:07:44,BT,10,7,NC,0.590314577
2022:08:06 11:43:00,BT,10,8,NC,0.547135174
2022:08:06 11:44:08,BT,10,9,NC,0.388868061
2022:08:06 11:41:20,BT,11,1,NC,0.326064278
2022:08:06 14:31:42,BT,11,10,CC,0.774453333
2022:08:06 11:57:09,BT,11,2,NC,0.339673187
2022:08:06 12:11:29,BT,11,3,NC,0.344121241
2022:08:06 12:22:05,BT,11,4,NC,0.351744451
2022:08:06 13:44:12,BT,11,5,CC,0.08366551
2022:08:06 13:45:38,BT,11,6,CC,0.210849344
2022:08:06 14:05:43,BT,11,7,CC,0.367673651
2022:08:06 14:07:20,BT,11,8,CC,0.11109259
2022:08:06 14:28:32,BT,11,9,CC,0.191440737
2022:08:06 14:08:51,BT,12,1,MUC,0.193710053
2022:08:06 17:04:16,BT,12,10,MUC,0.811673263
2022:08:06 14:38:04,BT,12,2,MUC,0.462570598
2022:08:06 14:52:42,BT,12,3,MUC,0.4713855
2022:08:06 15:37:02,BT,12,4,MUC,0.657058243
2022:08:06 16:05:39,BT,12,5,MUC,0.392563159
2022:08:06 16:21:59,BT,12,6,MUC,0.443730866
2022:08:06 16:35:29,BT,12,7,MUC,0.74177424
2022:08:06 16:46:44,BT,12,8,MUC,0.814475612
2022:08:06 16:55:15,BT,12,9,MUC,0.839002763
2022:08:06 14:15:44,BT,13,1,NC,0.161451295
2022:08:06 15:26:52,BT,13,10,NC,0.160149169
2022:08:06 14:25:33,BT,13,2,NC,0.143048375
2022:08:06 14:26:53,BT,13,3,NC,0.132028911
2022:08:06 14:37:02,BT,13,4,NC,0.22869625
2022:08:06 14:46:11,BT,13,5,NC,0.087002949
2022:08:06 14:50:36,BT,13,6,NC,0.297405177
2022:08:06 15:13:43,BT,13,7,NC,0.281720691
2022:08:06 15:14:29,BT,13,8,NC,0.199802754
2022:08:06 15:19:54,BT,13,9,NC,0.410787873
2022:08:06 15:25:18,BT,14,1,NC,0.441562752
2022:08:06 16:57:04,BT,14,10,NC,0.49041398
2022:08:06 15:26:46,BT,14,2,NC,0.523009493
2022:08:06 15:45:57,BT,14,3,NC,0.423765285
2022:08:06 15:47:08,BT,14,4,NC,0.171236015
2022:08:06 16:06:24,BT,14,5,NC,0.2740692
2022:08:06 16:08:16,BT,14,6,NC,0.315137604
2022:08:06 16:30:26,BT,14,7,NC,0.314803866
2022:08:06 16:31:06,BT,14,8,NC,0.276494463
2022:08:06 16:55:12,BT,14,9,NC,0.485957777
2022:08:06 18:07:59,BT,15,1,NC,0.077140767
2022:08:06 18:13:01,BT,15,10,CC,0.057615628
2022:08:06 18:11:30,BT,15,2,NC,0.144577345
2022:08:06 18:11:54,BT,15,3,NC,0.076644273
2022:08:06 18:16:44,BT,15,4,NC,0.10735834
2022:08:06 18:17:08,BT,15,5,NC,0.057559284
2022:08:06 18:35:21,BT,15,6,NC,0.079102449
2022:08:06 18:35:43,BT,15,7,NC,0.149443477
2022:08:06 18:30:55,BT,15,8,NC,0.151737175
2022:08:06 18:14:16,BT,15,9,CC,0.101878971
2022:08:06 16:55:46,BT,16,1,NC,0.392887688
2022:08:06 17:45:23,BT,16,10,NC,0.072858704
2022:08:06 16:56:29,BT,16,2,NC,0.462853549
