Date,Location,Transect,Quadrant,Photographer,% Cover
6/8/2022,BT,10,1,NC,0.366226926
6/8/2022,BT,10,10,NC,0.14019468
6/8/2022,BT,10,2,NC,0.4179322
6/8/2022,BT,10,3,NC,0.291157356
6/8/2022,BT,10,4,NC,0.376530188
6/8/2022,BT,10,5,NC,0.400065494
6/8/2022,BT,10,6,NC,0.546300828
6/8/2022,BT,10,7,NC,0.590314577
6/8/2022,BT,10,8,NC,0.547135174
6/8/2022,BT,10,9,NC,0.388868061
6/8/2022,BT,11,1,NC,0.326064278
6/8/2022,BT,11,10,CC,0.774453333
6/8/2022,BT,11,2,NC,0.339673187
6/8/2022,BT,11,3,NC,0.344121241
6/8/2022,BT,11,4,NC,0.351744451
6/8/2022,BT,11,5,CC,0.08366551
6/8/2022,BT,11,6,CC,0.210849344
6/8/2022,BT,11,7,CC,0.367673651
6/8/2022,BT,11,8,CC,0.11109259
6/8/2022,BT,11,9,CC,0.191440737
6/8/2022,BT,12,1,MUC,0.193710053
6/8/2022,BT,12,10,MUC,0.743429239
6/8/2022,BT,12,2,MUC,0.462570598
6/8/2022,BT,12,3,MUC,0.4713855
6/8/2022,BT,12,4,MUC,0.657058243
6/8/2022,BT,12,5,MUC,0.392563159
6/8/2022,BT,12,6,MUC,0.443730866
6/8/2022,BT,12,7,MUC,0.74177424
6/8/2022,BT,12,8,MUC,0.727522422
6/8/2022,BT,12,9,MUC,0.839002763
6/8/2022,BT,13,1,NC,0.161451295
6/8/2022,BT,13,10,NC,0.160149169
6/8/2022,BT,13,2,NC,0.143048375
6/8/2022,BT,13,3,NC,0.132028911
6/8/2022,BT,13,4,NC,0.22869625
6/8/2022,BT,13,5,NC,0.087002949
6/8/2022,BT,13,6,NC,0.297405177
6/8/2022,BT,13,7,NC,0.281720691
6/8/2022,BT,13,8,NC,0.199802754
6/8/2022,BT,13,9,NC,0.410787873
6/8/2022,BT,14,1,NC,0.441562752
6/8/2022,BT,14,10,NC,0.49041398
6/8/2022,BT,14,2,NC,0.523009493
6/8/2022,BT,14,3,NC,0.423765285
6/8/2022,BT,14,4,NC,0.171236015
6/8/2022,BT,14,5,NC,0.2740692
6/8/2022,BT,14,6,NC,0.315137604
6/8/2022,BT,14,7,NC,0.314803866
6/8/2022,BT,14,8,NC,0.276494463
6/8/2022,BT,14,9,NC,0.485957777
6/8/2022,BT,15,1,NC,0.077140767
6/8/2022,BT,15,10,CC,0.057615628
6/8/2022,BT,15,2,NC,0.144577345
6/8/2022,BT,15,3,NC,0.076644273
6/8/2022,BT,15,4,NC,0.10735834
6/8/2022,BT,15,5,NC,0.057559284
6/8/2022,BT,15,6,NC,0.079102449
6/8/2022,BT,15,7,NC,0.149443477
6/8/2022,BT,15,8,NC,0.151737175
6/8/2022,BT,15,9,CC,0.101878971
6/8/2022,BT,16,1,NC,0.392887688
6/8/2022,BT,16,10,NC,0.072858704
6/8/2022,BT,16,2,NC,0.462853549
6/8/2022,BT,16,3,NC,0.208139011
6/8/2022,BT,16,4,NC,0.051452399
6/8/2022,BT,16,5,NC,0.120947103
6/8/2022,BT,16,6,NC,0.215877485
6/8/2022,BT,16,7,NC,0.349873534
6/8/2022,BT,16,8,NC,0.044720408
6/8/2022,BT,16,9,NC,0.104225852
6/8/2022,BT,21,1,MUC,0.189815055
6/8/2022,BT,9,1,TM,0.253747939
6/8/2022,BT,9,10,TM,0.306004424
6/8/2022,BT,9,2,TM,0.084783111
6/8/2022,BT,9,3,TM,0.13118995
6/8/2022,BT,9,4,TM,0.125118904
6/8/2022,BT,9,5,TM,0.159005031
6/8/2022,BT,9,6,TM,0.203050642
6/8/2022,BT,9,7,TM,0.223388469
6/8/2022,BT,9,8,TM,0.233551895
