type	latitude	longitude	altitude (m)	name
W	49.961990000	-123.046770000	1742.7	BT-14
W	49.957780000	-123.050751000	1668.5	TM-7
W	49.953251000	-123.065180000	1579.9	TM-2
W	49.957900000	-123.050470000	1669.2	TM-27
W	49.963779000	-123.022620000	1796.8	PR-23
W	49.963730000	-123.022540000	1797.0	PR-24
W	49.964180000	-123.024770000	1765.9	PR-22
W	49.961349000	-123.047540000	1722.0	BT-12
W	49.953260000	-123.065269000	1579.9	TM-1
W	49.956950000	-123.051880000	1658.9	TM-25
W	49.957970000	-123.050500000	1669.7	TM-28
W	49.961411000	-123.047490000	1723.8	BT-11
W	49.963860000	-123.025500000	1758.3	PR-20
W	49.964150000	-123.024790000	1765.6	PR-21
W	49.968840000	-123.040250000	1983.2	BT-15
W	49.953880000	-123.064621000	1581.1	TM-3
W	49.964490000	-123.027510000	1769.9	PR-18
W	49.957780000	-123.050751000	1668.5	TM-8
W	49.964420000	-123.027550000	1769.9	PR-17
W	49.953459000	-123.017959000	2096.5	P_albicaulis
W	49.929760000	-122.986040000	1486.7	p_albicaulis
W	49.954510000	-123.062720000	1587.8	TM-5
W	49.960580000	-123.048160000	1698.2	BT-9
W	49.960590000	-123.048170000	1698.4	BT-10
W	49.928391000	-122.981490000	1569.0	garbage_pile_cam
W	49.968820000	-123.040260000	1983.1	BT-16
W	49.956921000	-123.051990000	1658.0	TM-26
W	49.953940000	-123.064680000	1581.0	TM-4
W	49.954559000	-123.062740000	1588.0	TM-6
W	49.961890000	-123.046820000	1740.2	BT-13
W	49.963880000	-123.025440000	1758.7	PR-19
