transect,quad,species,height_mm,mxdiam_mm,flws,frts,buds,data_notes,data_entry_notes,,,,,,,,,,,,,,,,,,
BT-10,8,phyemp,470,550,0,0,0,,,,,,,,,,,,,,,,,,,,
BT-10,8,phyemp,320,470,0,0,17,,,,,,,,,,,,,,,,,,,,
BT-10,8,phyemp,310,150,0,0,3,,,,,,,,,,,,,,,,,,,,
BT-10,8,vacova,350,400,2,0,0,,,,,,,,,,,,,,,,,,,,
BT-10,8,vacova,410,600,1,11,9,,,,,,,,,,,,,,,,,,,,
BT-10,8,vacova,470,540,3,10,0,,,,,,,,,,,,,,,,,,,,
BT-10,9,phyemp,90,230,0,0,0,,,,,,,,,,,,,,,,,,,,
BT-10,9,phyemp,250,520,0,0,32,,,,,,,,,,,,,,,,,,,,
BT-10,9,phyemp,280,210,0,0,0,,,,,,,,,,,,,,,,,,,,
BT-10,9,phyemp,230,180,0,0,9,,,,,,,,,,,,,,,,,,,,
BT-10,9,vacova,350,300,0,0,24,,,,,,,,,,,,,,,,,,,,
BT-10,9,vacova,210,760,1,0,0,,,,,,,,,,,,,,,,,,,,
BT-10,9,vacova,170,110,1,0,0,,,,,,,,,,,,,,,,,,,,
BT-10,9,vacova,230,530,0,0,0,,,,,,,,,,,,,,,,,,,,
BT-10,9,vacova,240,290,2,1,0,,,,,,,,,,,,,,,,,,,,
BT-10,10,phyemp,160,450,0,0,0,,,,,,,,,,,,,,,,,,,,
BT-10,10,phyemp,180,130,0,0,0,,,,,,,,,,,,,,,,,,,,
BT-10,10,phyemp,170,80,0,0,0,,,,,,,,,,,,,,,,,,,,
BT-10,1,phyemp,97,89,0,0,0,,,,,,,,,,,,,,,,,,,,
BT-10,1,phyemp,259,322,0,0,0,,,,,,,,,,,,,,,,,,,,
BT-10,1,phyemp,430,370,0,0,0,,,,,,,,,,,,,,,,,,,,
BT-10,1,phyemp,311,390,0,0,0,,,,,,,,,,,,,,,,,,,,
BT-10,1,phyemp,305,268,0,0,0,,,,,,,,,,,,,,,,,,,,
BT-10,1,vacova,201,270,0,1,0,,,,,,,,,,,,,,,,,,,,
BT-10,1,vacova,151,174,0,0,0,,,,,,,,,,,,,,,,,,,,
BT-10,1,vacova,200,148,2,2,0,,,,,,,,,,,,,,,,,,,,
BT-10,1,vacova,269,422,3,2,0,,,,,,,,,,,,,,,,,,,,
BT-10,1,vacova,150,410,0,0,0,,,,,,,,,,,,,,,,,,,,
BT-10,2,phyemp,105,80,0,0,0,,,,,,,,,,,,,,,,,,,,
BT-10,2,phyemp,380,460,0,0,0,,,,,,,,,,,,,,,,,,,,
BT-10,2,phyemp,259,22,0,0,0,,,,,,,,,,,,,,,,,,,,
BT-10,2,phyemp,312,500,0,0,0,,,,,,,,,,,,,,,,,,,,
BT-10,2,phyemp,170,172,0,0,0,,,,,,,,,,,,,,,,,,,,
BT-10,2,vacova,191,70,0,0,0,,,,,,,,,,,,,,,,,,,,
BT-10,2,vacova,215,203,0,0,0,,,,,,,,,,,,,,,,,,,,
BT-10,2,vacova,230,520,2,0,0,,,,,,,,,,,,,,,,,,,,
BT-10,2,vacova,158,410,1,2,1,,,,,,,,,,,,,,,,,,,,
BT-10,2,vacova,310,322,2,0,0,,,,,,,,,,,,,,,,,,,,
BT-10,3,vacova,105,45,0,0,0,,,,,,,,,,,,,,,,,,,,
BT-10,3,vacova,161,145,0,0,0,,,,,,,,,,,,,,,,,,,,
BT-10,3,vacova,242,370,0,0,0,,,,,,,,,,,,,,,,,,,,
BT-10,3,vacova,189,245,0,0,0,,,,,,,,,,,,,,,,,,,,
BT-10,3,vacova,300,500,3,2,2,,,,,,,,,,,,,,,,,,,,
BT-10,3,phyemp,91,22,0,0,0,,,,,,,,,,,,,,,,,,,,
BT-10,3,phyemp,380,1120,0,0,0,,,,,,,,,,,,,,,,,,,,
BT-10,3,phyemp,227,198,0,0,0,,,,,,,,,,,,,,,,,,,,
BT-10,4,vacova,104,250,0,0,0,,,,,,,,,,,,,,,,,,,,
BT-10,4,vacova,67,70,0,0,1,,,,,,,,,,,,,,,,,,,,
BT-10,4,vacova,315,260,0,0,0,,,,,,,,,,,,,,,,,,,,
BT-10,4,vacova,197,400,0,0,0,,,,,,,,,,,,,,,,,,,,
BT-10,4,vacova,270,560,0,0,0,,,,,,,,,,,,,,,,,,,,
BT-10,4,phyemp,117,1120,0,0,0,,,,,,,,,,,,,,,,,,,,
BT-10,4,phyemp,239,130,0,0,0,,,,,,,,,,,,,,,,,,,,
BT-10,4,phyemp,407,420,0,0,0,,,,,,,,,,,,,,,,,,,,
BT-10,5,phyemp,122,190,0,0,0,,,,,,,,,,,,,,,,,,,,
BT-10,5,phyemp,220,180,0,0,0,,,,,,,,,,,,,,,,,,,,
BT-10,5,phyemp,330,350,0,0,0,,,,,,,,,,,,,,,,,,,,
BT-10,5,vacova,365,660,2,5,1,,,,,,,,,,,,,,,,,,,,
BT-10,5,phyemp,220,50,0,0,0,,,,,,,,,,,,,,,,,,,,
BT-10,5,phyemp,298,750,0,0,6,,,,,,,,,,,,,,,,,,,,
BT-10,5,vacova,230,650,0,0,0,,,,,,,,,,,,,,,,,,,,
BT-10,6,phyemp,190,170,0,0,0,,,,,,,,,,,,,,,,,,,,
BT-10,6,phyemp,170,260,0,0,0,,,,,,,,,,,,,,,,,,,,
BT-10,6,phyemp,285,263,0,0,0,,,,,,,,,,,,,,,,,,,,
BT-10,6,phyemp,249,223,0,0,0,,,,,,,,,,,,,,,,,,,,
BT-10,6,phyemp,183,275,0,0,0,,,,,,,,,,,,,,,,,,,,
BT-10,6,vacova,252,620,5,9,0,,,,,,,,,,,,,,,,,,,,
