date,samplers,location,community_type,transect,d_trail_m,slope,aspect,start_gps,tea_bags,transect_notes,ruler_offset,p_albicaula,m_from_transect,"healthy (1= yes, 0 = no)","cones (2 = many, 1 = few, 0 = none)",data_notes,data_entry_notes
05.08.2022,"CC, CL",TM,cas/vac/phy,1,NA,2,52,TM-1,"A,A","trampling off trail, close to standing water, nice view of Black Tusk",NA,1,2,1,0,,"No distance to trail given, no number of pines given (I assumed one as there was only one distance from trail)"
05.08.2022,"TM, MUC",TM,phy/cas/vac,2,7,4,48,TM-2,"B,B","very green, untrampled, heather meadow",NA,1,9,1,0,,
05.08.2022,"NC, BR",TM,phy/vac/cas,3,0,16,222,TM-3,"C,C","Boulder in transect, side trail",6mm,1,15,1,0,,
05.08.2022,"CC, CL",TM,phy/vac/cas,4,4,8,220,TM-4,"D,D","mostly undisturbed, grassy, vac-ova fruits restimated for quads 1 thru 4, ABies in transect",NA,0,NA,NA,NA,,
05.08.2022,"MUC, TM",TM,vac/phy/cas,5,1,11,212,TM-5,NA,"Side trail off boardwalk, sample on trailside to capture trampling",8mm,0,NA,NA,NA,,
05.08.2022,"NC, BR",TM,phy/vac/cas,6,7,11,19,TM-6,NA,Salix/dry heather meadow w/ Abies,8mm,0,NA,NA,NA,,
05.08.2022,"NC, BR",TM,phy/vac/cas,7,3,3,110,TM-7,"F,F",Side trail merges into main trail,8mm,0,NA,NA,NA,,
05.08.2022,"CC, CL",TM,phy/vac/cas,8,5,5,180,TM-8,NA,ending in a group of Abies,NA,0,NA,NA,NA,,
06.08.2022,"MUC, TM",BT,vac/phy,9,0,8,140,BT-9,"E,E",edge of prominent side trail,NA,0,NA,NA,NA,,
06.08.2022,"BR, NC, CC, CL",BT,vac/phy,10,6.5,9,121,BT-10,"F,F",lower density vacc/phyllo slope between Abies,8mm_q1-7,0,NA,NA,NA,,No offset mentions for q8-10
06.08.2022,"NC, BR, CC, CL",BT,phy/vac,11,0,6,264,BT-11,NA,"side trampling on trail cut, but not measuring trailcut itself, asp/slop diff than undisturbed transect (BT-12)",8mm_q1-4,0,NA,NA,NA,,No offset metnioned for q5-10
06.08.2022,"TM, MUC",BT,phy/vac,12,5,17,176,BT-12,NA,transect run btwn two fir trees,NA,0,NA,NA,NA,,
06.08.2022,"NC, BR",BT,cas/vac/car,13,7,12,206,BT-13,NA,edge of prominent side trail,8mm,0,NA,NA,NA,,
06.08.2022,"CL,CC",BT,cas/phy/vac,14,12,21,254,BR-14,NA,sloped heather community,NA,0,NA,NA,NA,,
06.08.2022,"NC, BR, CC, CL",BT,car/phy/cas,15,1,12,60,BT-15,"G,G","scree slope, high elev",NA,0,NA,NA,NA,"Note abt the teabags that they were '2 covered w/rocks, not a lot of soil'",
06.08.2022,"NC, BR",BT,phy,16,5,25,184,BT-16,NA,"least disturbed close to trail, permanent stake 30 cm uptrail from transect ",8mm,1,10,1,0,,
07.08.2022,"CC,CL",PR,cas ,17,0,9,70,PR-17,"I, H","wet meadow, close to late season snowpath",NA,0,NA,NA,NA,"G,H buried at BT-15 adn 16: Roobios I recorded as H",
07.08.2022,"CC,CL",PR,cas/phy ,18,4,9,76,PR-18,"J,J","wet meadow, close to late season snowpath",NA,0,NA,NA,NA,,
07.08.2022,"TM, BR",PR,vac,19,0,NA,NA,PR-19,NA,mast meadow,8mm,0,NA,NA,NA,,No slope or aspect provided
07.08.2022,"NC,CH, BR, TM, VL, MUC, CL, CC",PR,cas/vacc/phy/car,20,5,2,106,PR-20,NA,dry meadow,"5mm_q1-4,7; 8mm_q8-10",0,NA,NA,NA,,
07.08.2022,"BR, TM",PR,car/vac/phy/cas,21,0,5,252,PR-21,NA,off-trail trampling,8mm,0,NA,NA,NA,,
